median house value,median income,housing median age,total rooms,total bedrooms,population,households,latitude,longitude
276000,3.9,52,3480,751,1440,718,3.7820000000000000e+001,-1.22E+02
225000,3.91,28,3340,855,1520,802,3.7820000000000000e+001,-1.22E+02
263000,5.09,52,1420,289,550,253,3.7820000000000000e+001,-1.22E+02
219000,2.64,32,3810,1100,1810,1020,3.7820000000000000e+001,-1.22E+02
255000,3.02,26,3960,1200,1750,1220,3.7820000000000000e+001,-1.22E+02
224000,3.15,52,2380,559,939,519,3.7829999999999998e+001,-1.22E+02
243000,3.47,35,1610,428,675,422,3.7829999999999998e+001,-1.22E+02
232000,3.14,52,1280,287,534,291,3.7829999999999998e+001,-1.22E+02
219000,2.42,28,5020,1750,2560,1660,3.7829999999999998e+001,-1.22E+02
234000,3.09,52,4190,1110,1790,1040,3.7829999999999998e+001,-1.22E+02
328000,5.86,50,2520,399,970,373,3.7840000000000003e+001,-1.22E+02
348000,5.29,47,3180,454,1100,485,3.7840000000000003e+001,-1.22E+02
366000,5.96,41,2580,406,794,376,3.7829999999999998e+001,-1.22E+02
335000,4.96,37,334,54,98,47,3.7850000000000001e+001,-1.22E+02
374000,6.34,52,2800,411,1060,403,3.7850000000000001e+001,-1.22E+02
390000,5.18,52,3530,574,1180,555,3.7840000000000003e+001,-1.22E+02
391000,7.24,52,2610,365,901,367,3.7850000000000001e+001,-1.22E+02
337000,5.46,28,5290,1050,2030,956,3.7850000000000001e+001,-1.22E+02
295000,7.5,50,2940,473,1030,479,3.7840000000000003e+001,-1.22E+02
292000,6.02,44,3420,597,1360,597,3.7840000000000003e+001,-1.22E+02
412000,7.55,40,4990,674,1620,654,3.7829999999999998e+001,-1.22E+02
312000,6.07,30,2210,346,844,343,3.7840000000000003e+001,-1.22E+02
326000,7.05,34,3040,490,1140,496,3.7840000000000003e+001,-1.22E+02
393000,11.6,18,1620,210,533,194,3.7840000000000003e+001,-1.22E+02
319000,7.49,35,2870,460,1070,443,3.7840000000000003e+001,-1.22E+02
333000,6.9,34,5070,788,1630,766,3.7829999999999998e+001,-1.22E+02
335000,8.2,28,1330,184,463,190,3.7829999999999998e+001,-1.22E+02
351000,8.4,26,1590,223,542,211,3.7829999999999998e+001,-1.22E+02
369000,6.85,29,1790,271,661,269,3.7829999999999998e+001,-1.22E+02
366000,8.32,32,1840,264,635,263,3.7820000000000000e+001,-1.22E+02
367000,7.02,37,1230,181,420,176,3.7820000000000000e+001,-1.22E+02
363000,6.33,39,3770,534,1270,500,3.7820000000000000e+001,-1.22E+02
483000,6.36,30,292,38,126,52,3.7810000000000002e+001,-1.22E+02
331000,7.05,52,2380,333,813,350,3.7820000000000000e+001,-1.22E+02
324000,6.79,45,2960,436,1070,426,3.7810000000000002e+001,-1.22E+02
217000,2.89,50,2830,605,1260,552,3.7799999999999997e+001,-1.22E+02
233000,3.08,38,2250,535,951,487,3.7799999999999997e+001,-1.22E+02
296000,5.24,52,1390,212,510,224,3.7810000000000002e+001,-1.22E+02
274000,6.52,52,1970,335,765,308,3.7810000000000002e+001,-1.22E+02
228000,3.26,52,2180,465,1130,460,3.7799999999999997e+001,-1.22E+02
200000,3.03,52,2290,464,1070,441,3.7799999999999997e+001,-1.22E+02
240000,4.54,52,2720,541,1190,515,3.7799999999999997e+001,-1.22E+02
270000,4.07,52,2020,339,756,340,3.7810000000000002e+001,-1.22E+02
302000,5.35,52,2940,536,1030,521,3.7810000000000002e+001,-1.22E+02
270000,3.16,52,2030,486,787,459,3.7799999999999997e+001,-1.22E+02
315000,4.77,52,1430,229,612,213,3.7810000000000002e+001,-1.22E+02
390000,8.16,52,2930,402,1020,380,3.7810000000000002e+001,-1.22E+02
410000,8.88,52,2320,292,861,258,3.7810000000000002e+001,-1.22E+02
352000,6.86,52,2490,313,953,327,3.7810000000000002e+001,-1.22E+02
287000,6.03,52,1490,238,634,256,3.7810000000000002e+001,-1.22E+02
349000,7.51,52,2810,365,878,352,3.7810000000000002e+001,-1.22E+02
244000,2.75,52,2090,550,918,483,3.7810000000000002e+001,-1.22E+02
212000,2.19,52,888,168,360,175,3.7799999999999997e+001,-1.22E+02
218000,3.01,52,2090,510,1200,488,3.7799999999999997e+001,-1.22E+02
270000,3.67,52,2510,502,1050,518,3.7810000000000002e+001,-1.22E+02
219000,3.23,46,3230,835,1370,747,3.7810000000000002e+001,-1.22E+02
225000,2.93,42,4120,1070,1720,1020,3.7799999999999997e+001,-1.22E+02
250000,2.14,43,2360,792,1360,722,3.7799999999999997e+001,-1.22E+02
171000,1.61,41,1470,469,1060,413,3.7799999999999997e+001,-1.22E+02
194000,1.39,29,2470,864,1340,773,3.7799999999999997e+001,-1.22E+02
125000,2.32,27,1630,492,1170,429,3.7789999999999999e+001,-1.22E+02
97500,1.78,45,1790,526,1480,460,3.7789999999999999e+001,-1.22E+02
125000,2.65,50,629,188,742,196,3.7789999999999999e+001,-1.22E+02
139000,2.18,52,1340,391,1090,363,3.7789999999999999e+001,-1.22E+02
117000,2.23,36,1680,606,1650,543,3.7799999999999997e+001,-1.22E+02
152000,1.65,43,2340,647,1710,644,3.7799999999999997e+001,-1.22E+02
127000,2.27,52,996,228,731,228,3.7799999999999997e+001,-1.22E+02
129000,2.16,52,1590,373,1120,347,3.7799999999999997e+001,-1.22E+02
141000,2.13,52,1590,398,1010,335,3.7799999999999997e+001,-1.22E+02
183000,2.63,47,2050,588,1210,554,3.7799999999999997e+001,-1.22E+02
147000,2.38,52,1190,289,772,257,3.7799999999999997e+001,-1.22E+02
123000,2.96,52,1800,420,1320,401,3.7799999999999997e+001,-1.22E+02
169000,2.52,49,2840,749,1490,677,3.7799999999999997e+001,-1.22E+02
127000,1.94,52,783,184,488,186,3.7799999999999997e+001,-1.22E+02
128000,1.9,51,1590,414,949,392,3.7799999999999997e+001,-1.22E+02
124000,2.25,50,1750,480,1150,415,3.7799999999999997e+001,-1.22E+02
112000,2.39,52,1250,299,844,280,3.7799999999999997e+001,-1.22E+02
113000,2.19,43,5960,1340,4370,1230,3.7789999999999999e+001,-1.22E+02
108000,2.94,52,1780,395,1660,412,3.7789999999999999e+001,-1.22E+02
138000,1.89,30,999,264,1010,263,3.7789999999999999e+001,-1.22E+02
106000,2.16,39,1470,431,1460,389,3.7789999999999999e+001,-1.22E+02
95500,2.13,47,1370,395,1240,303,3.7789999999999999e+001,-1.22E+02
116000,3.38,52,674,180,647,168,3.7789999999999999e+001,-1.22E+02
112000,2.25,43,1630,376,1280,357,3.7789999999999999e+001,-1.22E+02
75000,2.1,51,175,43,228,55,3.7789999999999999e+001,-1.22E+02
113000,1.6,39,461,129,381,123,3.7789999999999999e+001,-1.22E+02
125000,3.63,52,902,237,846,227,3.7789999999999999e+001,-1.22E+02
115000,1.69,20,2370,779,1660,676,3.7799999999999997e+001,-1.22E+02
95000,1.65,52,391,128,520,138,3.7770000000000003e+001,-1.22E+02
96400,2.59,52,1140,301,866,259,3.7770000000000003e+001,-1.22E+02
72000,2.57,52,769,206,612,183,3.7770000000000003e+001,-1.22E+02
71300,2.64,52,472,146,415,126,3.7780000000000001e+001,-1.22E+02
80800,3.03,52,862,215,994,213,3.7780000000000001e+001,-1.22E+02
129000,1.49,50,1920,530,1530,477,3.7780000000000001e+001,-1.22E+02
113000,1.93,43,1420,472,1510,438,3.7780000000000001e+001,-1.22E+02
119000,1.48,52,986,258,1010,255,3.7780000000000001e+001,-1.22E+02
118000,1.6,44,2340,825,2810,751,3.7780000000000001e+001,-1.22E+02
123000,2.04,48,1700,396,1480,343,3.7789999999999999e+001,-1.22E+02
106000,2.29,49,1180,217,859,219,3.7789999999999999e+001,-1.22E+02
133000,2.15,37,2340,574,1610,523,3.7789999999999999e+001,-1.22E+02
123000,1.62,30,610,145,425,140,3.7789999999999999e+001,-1.22E+02
113000,1.33,40,930,199,564,184,3.7789999999999999e+001,-1.22E+02
110000,3.52,44,1490,314,961,272,3.7789999999999999e+001,-1.22E+02
165000,3.9,52,3420,690,2270,685,3.7789999999999999e+001,-1.22E+02
125000,3.09,52,762,190,600,195,3.7789999999999999e+001,-1.22E+02
125000,2.6,46,2370,575,1650,527,3.7789999999999999e+001,-1.22E+02
137000,2.5,49,1830,450,1200,424,3.7789999999999999e+001,-1.22E+02
142000,2.8,38,3050,711,2170,659,3.7789999999999999e+001,-1.22E+02
150000,2.83,29,1640,376,939,340,3.7789999999999999e+001,-1.22E+02
139000,2.96,47,1540,307,859,292,3.7789999999999999e+001,-1.22E+02
139000,2.84,34,2360,557,1520,516,3.7789999999999999e+001,-1.22E+02
144000,2.88,35,1750,409,1140,386,3.7789999999999999e+001,-1.22E+02
157000,3.07,39,2000,500,1110,464,3.7799999999999997e+001,-1.22E+02
151000,3.08,39,2020,447,1220,446,3.7799999999999997e+001,-1.22E+02
273000,4.96,43,3050,499,1120,455,3.7799999999999997e+001,-1.22E+02
217000,4.77,52,1550,293,706,268,3.7799999999999997e+001,-1.22E+02
187000,3.49,52,3520,711,1880,706,3.7799999999999997e+001,-1.22E+02
240000,5.12,41,2070,354,804,340,3.7799999999999997e+001,-1.22E+02
230000,4.1,48,1320,263,506,252,3.7799999999999997e+001,-1.22E+02
257000,4.74,48,1690,259,610,238,3.7799999999999997e+001,-1.22E+02
247000,4.27,46,1940,341,768,332,3.7799999999999997e+001,-1.22E+02
180000,2.98,50,968,195,462,184,3.7789999999999999e+001,-1.22E+02
170000,4.17,40,1060,256,667,235,3.7789999999999999e+001,-1.22E+02
203000,3.85,46,2040,405,1060,399,3.7799999999999997e+001,-1.22E+02
263000,4.01,52,1810,271,637,277,3.7799999999999997e+001,-1.22E+02
232000,4.66,45,2720,451,1110,454,3.7789999999999999e+001,-1.22E+02
141000,2.93,28,3140,761,1740,669,3.7789999999999999e+001,-1.22E+02
126000,2.3,35,1800,459,1010,390,3.7789999999999999e+001,-1.22E+02
122000,2.67,49,882,195,737,210,3.7789999999999999e+001,-1.22E+02
135000,2.62,44,1620,452,1350,491,3.7789999999999999e+001,-1.22E+02
139000,2.42,45,2120,533,1530,474,3.7789999999999999e+001,-1.22E+02
115000,2.78,45,2020,528,1410,480,3.7789999999999999e+001,-1.22E+02
137000,2.74,46,2240,508,1390,569,3.7780000000000001e+001,-1.22E+02
137000,1.85,52,1480,300,1070,269,3.7780000000000001e+001,-1.22E+02
143000,2.66,52,1060,224,792,245,3.7780000000000001e+001,-1.22E+02
138000,3.05,49,898,244,779,245,3.7780000000000001e+001,-1.22E+02
112000,2.39,44,2970,710,2270,610,3.7780000000000001e+001,-1.22E+02
127000,1.72,43,1700,460,1230,407,3.7780000000000001e+001,-1.22E+02
111000,2.63,47,881,248,753,241,3.7780000000000001e+001,-1.22E+02
115000,2.8,40,494,114,547,135,3.7770000000000003e+001,-1.22E+02
102000,1.73,50,1780,473,1810,440,3.7780000000000001e+001,-1.22E+02
132000,2.08,44,1680,514,1700,495,3.7780000000000001e+001,-1.22E+02
119000,2.49,51,1640,463,1540,393,3.7780000000000001e+001,-1.22E+02
80600,1.75,52,1420,314,1090,300,3.7759999999999998e+001,-1.22E+02
80600,4.09,52,591,173,353,137,3.7770000000000003e+001,-1.22E+02
88800,2.68,52,745,153,473,149,3.7770000000000003e+001,-1.22E+02
102000,2.43,49,2270,498,1620,483,3.7770000000000003e+001,-1.22E+02
98700,2.33,46,1230,375,1180,354,3.7770000000000003e+001,-1.22E+02
100000,2.26,43,1020,328,836,277,3.7770000000000003e+001,-1.22E+02
92300,1.8,42,932,254,900,263,3.7770000000000003e+001,-1.22E+02
94800,2.26,39,2690,597,1890,537,3.7770000000000003e+001,-1.22E+02
102000,2.06,41,1550,415,1020,341,3.7770000000000003e+001,-1.22E+02
158000,3.54,52,2300,443,1230,423,3.7780000000000001e+001,-1.22E+02
122000,3.12,39,1750,399,1070,376,3.7780000000000001e+001,-1.22E+02
129000,2.54,50,1870,403,1130,378,3.7780000000000001e+001,-1.22E+02
121000,2.9,43,2430,502,1540,484,3.7770000000000003e+001,-1.22E+02
103000,2.31,44,1730,414,1240,393,3.7780000000000001e+001,-1.22E+02
160000,2.88,52,1030,180,469,168,3.7780000000000001e+001,-1.22E+02
144000,3.37,52,2170,428,1090,425,3.7770000000000003e+001,-1.22E+02
151000,3.51,52,2330,445,1140,417,3.7770000000000003e+001,-1.22E+02
164000,4.31,52,2490,415,1110,375,3.7780000000000001e+001,-1.22E+02
157000,3.22,52,2200,397,984,369,3.7780000000000001e+001,-1.22E+02
225000,3.88,33,142,31,575,47,3.7780000000000001e+001,-1.22E+02
174000,5.23,49,1180,205,496,209,3.7780000000000001e+001,-1.22E+02
167000,3.73,52,1070,193,555,190,3.7780000000000001e+001,-1.22E+02
164000,4.59,45,1770,332,869,327,3.7780000000000001e+001,-1.22E+02
253000,5.26,39,617,95,236,106,3.7789999999999999e+001,-1.22E+02
241000,7.09,41,1410,233,626,214,3.7789999999999999e+001,-1.22E+02
208000,3.97,46,2110,387,922,329,3.7789999999999999e+001,-1.22E+02
198000,2.95,47,1230,243,582,256,3.7789999999999999e+001,-1.22E+02
173000,2.67,50,954,217,546,201,3.7789999999999999e+001,-1.22E+02
337000,5.44,37,1640,262,620,266,3.7810000000000002e+001,-1.22E+02
318000,6.28,34,1360,195,442,195,3.7799999999999997e+001,-1.22E+02
286000,6.75,23,2320,336,955,328,3.7799999999999997e+001,-1.22E+02
293000,7.07,24,2460,317,916,324,3.7770000000000003e+001,-1.22E+02
371000,5.98,22,12800,2050,4990,1970,3.7789999999999999e+001,-1.22E+02
157000,3.69,42,1520,260,651,267,3.7780000000000001e+001,-1.22E+02
135000,2.88,30,3330,746,1700,703,3.7770000000000003e+001,-1.22E+02
137000,3.42,43,1990,440,1090,407,3.7780000000000001e+001,-1.22E+02
161000,3.3,50,1640,322,713,284,3.7780000000000001e+001,-1.22E+02
141000,3.88,49,893,177,468,181,3.7780000000000001e+001,-1.22E+02
144000,4.17,52,653,128,296,121,3.7780000000000001e+001,-1.22E+02
162000,4.38,47,1260,217,570,218,3.7770000000000003e+001,-1.22E+02
156000,4.77,48,977,194,446,180,3.7770000000000003e+001,-1.22E+02
176000,3.57,45,2320,397,968,384,3.7770000000000003e+001,-1.22E+02
146000,3.1,39,1580,349,857,316,3.7770000000000003e+001,-1.22E+02
142000,3.4,39,1610,342,912,322,3.7770000000000003e+001,-1.22E+02
90700,1.87,31,2420,533,1360,452,3.7770000000000003e+001,-1.22E+02
90600,1.94,41,1590,367,1070,355,3.7759999999999998e+001,-1.22E+02
108000,2.18,47,2120,413,965,382,3.7759999999999998e+001,-1.22E+02
107000,2.29,37,1580,358,933,320,3.7759999999999998e+001,-1.22E+02
98200,2.43,38,1760,397,987,354,3.7759999999999998e+001,-1.22E+02
89500,1.95,50,1190,261,907,246,3.7759999999999998e+001,-1.22E+02
93800,3.91,52,754,175,447,165,3.7759999999999998e+001,-1.22E+02
96700,1.84,49,2310,452,1300,451,3.7759999999999998e+001,-1.22E+02
97500,2.08,27,909,236,396,157,3.7770000000000003e+001,-1.22E+02
97300,2.81,42,1180,257,877,268,3.7770000000000003e+001,-1.22E+02
91200,1.89,43,2020,408,1110,367,3.7759999999999998e+001,-1.22E+02
91400,1.71,49,1370,282,790,269,3.7759999999999998e+001,-1.22E+02
96200,2.28,52,2740,547,1480,554,3.7770000000000003e+001,-1.22E+02
120000,3.26,51,2110,471,1170,438,3.7770000000000003e+001,-1.22E+02
100000,2.06,52,1750,362,1030,366,3.7770000000000003e+001,-1.22E+02
94700,2.47,52,2020,391,1030,350,3.7759999999999998e+001,-1.22E+02
85700,1.75,47,1120,259,826,279,3.7759999999999998e+001,-1.22E+02
89300,2.05,41,2040,510,1410,454,3.7770000000000003e+001,-1.22E+02
101000,2.72,45,1850,393,1130,349,3.7770000000000003e+001,-1.22E+02
72500,1.21,41,921,207,522,159,3.7759999999999998e+001,-1.22E+02
74100,1.93,45,995,238,630,237,3.7759999999999998e+001,-1.22E+02
70000,1.58,36,606,132,531,133,3.7750000000000000e+001,-1.22E+02
84600,1.41,37,2680,736,1930,667,3.7759999999999998e+001,-1.22E+02
81800,0.768,38,1490,370,1140,351,3.7759999999999998e+001,-1.22E+02
81400,1.32,19,2210,565,1480,520,3.7750000000000000e+001,-1.22E+02
81800,0.801,28,856,189,435,162,3.7750000000000000e+001,-1.22E+02
85800,1.95,26,1290,297,984,303,3.7759999999999998e+001,-1.22E+02
87100,1.18,36,847,212,567,159,3.7740000000000002e+001,-1.22E+02
83500,2.35,42,541,154,380,123,3.7740000000000002e+001,-1.22E+02
79700,2.15,44,1070,253,825,244,3.7729999999999997e+001,-1.22E+02
83400,2.51,43,707,147,417,155,3.7740000000000002e+001,-1.22E+02
84700,1.26,45,1530,291,801,287,3.7729999999999997e+001,-1.22E+02
80000,2.91,42,909,215,646,198,3.7729999999999997e+001,-1.22E+02
76400,2.52,43,1390,293,855,285,3.7729999999999997e+001,-1.22E+02
79700,2.11,44,548,119,435,136,3.7729999999999997e+001,-1.22E+02
82400,2.46,42,4070,874,2740,780,3.7729999999999997e+001,-1.22E+02
97700,2.4,41,1610,445,1480,414,3.7740000000000002e+001,-1.22E+02
97200,2.15,47,463,134,327,137,3.7740000000000002e+001,-1.22E+02
102000,2.48,43,818,193,494,179,3.7740000000000002e+001,-1.22E+02
86500,2.16,43,1470,371,1230,341,3.7729999999999997e+001,-1.22E+02
90500,1.84,35,504,126,323,109,3.7740000000000002e+001,-1.22E+02
108000,3.03,46,1030,226,749,225,3.7740000000000002e+001,-1.22E+02
84200,2.25,46,769,183,693,178,3.7740000000000002e+001,-1.22E+02
88900,2.25,46,2100,391,1340,354,3.7740000000000002e+001,-1.22E+02
80700,4.05,45,330,76,282,80,3.7750000000000000e+001,-1.22E+02
87100,1.33,46,941,218,621,195,3.7750000000000000e+001,-1.22E+02
85100,1.62,38,992,279,732,259,3.7750000000000000e+001,-1.22E+02
82000,2.17,45,990,261,901,260,3.7750000000000000e+001,-1.22E+02
82800,1.92,36,1130,263,482,150,3.7750000000000000e+001,-1.22E+02
84600,2.07,43,1040,233,652,213,3.7750000000000000e+001,-1.22E+02
82100,1.71,36,1050,214,651,166,3.7750000000000000e+001,-1.22E+02
89300,2.56,33,1280,307,999,286,3.7759999999999998e+001,-1.22E+02
98300,1.98,43,1590,320,907,306,3.7750000000000000e+001,-1.22E+02
92300,2.5,41,1260,271,828,230,3.7750000000000000e+001,-1.22E+02
88800,2.33,44,1220,248,763,254,3.7750000000000000e+001,-1.22E+02
90000,1.44,48,1750,390,935,349,3.7750000000000000e+001,-1.22E+02
95500,2.51,45,2300,514,1440,484,3.7759999999999998e+001,-1.22E+02
91700,1.56,38,2460,624,1520,482,3.7750000000000000e+001,-1.22E+02
100000,3.16,47,998,211,597,185,3.7750000000000000e+001,-1.22E+02
94800,1.84,40,1690,343,949,342,3.7759999999999998e+001,-1.22E+02
164000,4.67,46,1830,307,881,302,3.7759999999999998e+001,-1.22E+02
156000,2.46,36,2780,574,1440,519,3.7759999999999998e+001,-1.22E+02
197000,6.07,39,1820,286,763,270,3.7759999999999998e+001,-1.22E+02
279000,4.83,27,2230,365,1300,355,3.7770000000000003e+001,-1.22E+02
253000,5.57,34,1510,231,545,211,3.7759999999999998e+001,-1.22E+02
275000,5.37,26,3270,491,1220,533,3.7759999999999998e+001,-1.22E+02
250000,6.86,33,1810,261,808,219,3.7750000000000000e+001,-1.22E+02
330000,7.69,28,794,111,329,109,3.7750000000000000e+001,-1.22E+02
196000,4.03,36,690,105,299,109,3.7750000000000000e+001,-1.22E+02
